"Estimated population by sex, single year of age and UK Parliamentary Constituency (UKPC) area: 30 June 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,,,Age,,,,,,,,,,,,,,,,,,,,Age,,,,,,,,,,,,,,,,,,,,,,,,,Age,,,,,,,,,,,,,,,,,,,,,,,,,Age,,,,,,,,,,,,,,,,,,,,
,,SEX,All ages,AGE 0,AGE 1,AGE 2,AGE 3,AGE 4,AGE 5,AGE 6,AGE 7,AGE 8,AGE 9,AGE 10,AGE 11,AGE 12,AGE 13,AGE 14,AGE 15,AGE 16,AGE 17,AGE 18,AGE 19,AGE 20,AGE 21,AGE 22,AGE 23,AGE 24,AGE 25,AGE 26,AGE 27,AGE 28,AGE 29,AGE 30,AGE 31,AGE 32,AGE 33,AGE 34,AGE 35,AGE 36,AGE 37,AGE 38,AGE 39,AGE 40,AGE 41,AGE 42,AGE 43,AGE 44,AGE 45,AGE 46,AGE 47,AGE 48,AGE 49,AGE 50,AGE 51,AGE 52,AGE 53,AGE 54,AGE 55,AGE 56,AGE 57,AGE 58,AGE 59,AGE 60,AGE 61,AGE 62,AGE 63,AGE 64,AGE 65,AGE 66,AGE 67,AGE 68,AGE 69,AGE 70,AGE 71,AGE 72,AGE 73,AGE 74,AGE 75,AGE 76,AGE 77,AGE 78,AGE 79,AGE 80,AGE 81,AGE 82,AGE 83,AGE 84,AGE 85,AGE 86,AGE 87,AGE 88,AGE 89,AGE 90+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOTLAND,,,"5,404,700","55,516","56,584","57,165","58,232","59,741","61,695","58,801","60,336","60,184","57,846","56,634","56,142","55,083","53,398","53,121","55,439","56,863","58,981","60,951","66,426","68,524","70,098","72,575","74,422","78,348","78,055","74,943","74,420","74,513","72,193","71,566","71,086","68,875","69,755","70,631","70,100","68,696","66,397","61,788","60,772","64,126","64,558","65,486","69,586","73,882","76,789","75,703","78,786","80,211","80,762","80,186","83,067","81,988","81,648","79,802","77,970","75,289","74,614","72,473","70,475","68,252","65,332","64,365","62,976","60,627","61,076","61,082","62,320","64,019","69,027","51,771","48,550","49,278","46,793","42,627","39,132","39,436","37,987","36,463","33,828","31,999","29,683","27,085","24,519","23,132","20,572","17,850","15,532","12,875","11,149","41,067"
UKPC Code,UKPC Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S14000001,Aberdeen North,Persons,"103,315","1,201","1,198","1,130","1,136","1,175","1,064","1,035",968,955,872,853,836,760,690,733,708,777,822,"1,461","2,378","2,593","2,521","2,479","2,547","2,722","2,687","2,483","2,382","2,258","2,077","2,013","1,897","1,739","1,817","1,677","1,549","1,494","1,404","1,257","1,274","1,305","1,226","1,142","1,205","1,195","1,270","1,131","1,184","1,163","1,189","1,142","1,213","1,114","1,199","1,210","1,052","1,111","1,086","1,025","1,090","1,016","1,028",959,904,891,882,848,910,851,985,674,550,588,583,552,492,553,527,492,476,455,457,404,341,359,319,274,229,170,165,507
S14000002,Aberdeen South,Persons,"95,529",995,934,951,928,956,979,952,940,904,906,834,805,763,792,731,804,857,826,746,877,952,"1,164","1,181","1,493","1,970","2,138","2,075","2,237","1,992","2,058","1,930","1,864","1,636","1,677","1,582","1,603","1,541","1,420","1,284","1,256","1,208","1,175","1,199","1,314","1,283","1,287","1,177","1,247","1,299","1,298","1,226","1,351","1,301","1,411","1,356","1,233","1,244","1,239","1,218","1,112","1,162",999,952,885,903,857,831,904,822,946,729,605,635,628,665,546,565,547,546,553,516,455,429,434,440,353,324,307,260,221,799
S14000003,Airdrie and Shotts,Persons,"86,795",968,980,"1,012","1,051","1,019","1,028","1,052","1,130","1,097","1,071","1,006",994,965,"1,015",953,973,"1,010","1,065","1,011","1,076","1,085","1,038","1,046","1,034","1,093","1,088","1,081","1,062","1,153","1,059","1,131","1,078","1,158","1,155","1,148","1,227","1,215","1,092","1,058",933,"1,122","1,097","1,096","1,204","1,252","1,282","1,288","1,396","1,402","1,373","1,351","1,416","1,321","1,310","1,312","1,264","1,168","1,139","1,151","1,101","1,097","1,015",996,997,916,928,958,981,914,"1,009",788,727,776,704,630,582,605,598,536,457,455,390,381,352,298,244,213,183,143,128,339
S14000004,Angus,Persons,"86,591",826,874,918,910,897,908,948,897,942,896,892,896,883,881,870,955,935,957,953,971,939,966,"1,041","1,028",989,994,892,903,962,983,"1,019",941,949,991,"1,080",997,967,957,958,877,943,946,"1,008","1,132","1,160","1,171","1,207","1,282","1,238","1,275","1,335","1,323","1,310","1,333","1,383","1,230","1,313","1,282","1,199","1,191","1,146","1,103","1,094","1,187","1,054","1,148","1,126","1,168","1,231","1,326",963,925,918,872,832,736,789,673,704,661,583,564,518,459,451,418,379,289,248,214,909
S14000005,Argyll and Bute,Persons,"87,130",713,749,778,762,846,848,865,866,874,823,869,855,883,809,840,858,884,"1,019",985,"1,006","1,010",987,"1,018",938,899,944,877,915,817,813,763,807,793,795,755,841,865,778,832,878,884,951,946,"1,047","1,142","1,115","1,209","1,220","1,318","1,315","1,307","1,421","1,408","1,448","1,379","1,402","1,370","1,295","1,299","1,323","1,322","1,257","1,228","1,237","1,274","1,341","1,251","1,373","1,367","1,551","1,155","1,101","1,121","1,032",929,864,885,823,775,739,646,638,534,487,498,431,373,313,250,213,866
S14000006,"Ayr, Carrick and Cumnock",Persons,"92,159",903,872,868,914,911,987,881,972,978,979,925,972,925,938,936,969,"1,009","1,036","1,102","1,033",989,"1,063","1,100","1,044","1,009",995,996,997,977,"1,016",975,917,925,841,924,988,"1,028",934,835,829,923,973,"1,017","1,129","1,217","1,250","1,276","1,327","1,408","1,410","1,400","1,518","1,449","1,401","1,430","1,413","1,329","1,365","1,400","1,352","1,335","1,244","1,299","1,296","1,270","1,279","1,279","1,271","1,348","1,436","1,095","1,094","1,064","1,017",941,832,877,778,819,725,672,631,577,509,463,461,349,323,248,226,922
S14000007,Banff and Buchan,Persons,"92,724","1,033",944,"1,032","1,071","1,060","1,106","1,097","1,119","1,053","1,016","1,034",933,929,978,960,940,"1,029","1,018","1,035",970,"1,026","1,078","1,092","1,135","1,055","1,117","1,140","1,046","1,112","1,109","1,103","1,155","1,054","1,052","1,114","1,168","1,173","1,082","1,041","1,087","1,154","1,095","1,162","1,196","1,252","1,346","1,391","1,487","1,364","1,497","1,390","1,460","1,460","1,464","1,355","1,328","1,252","1,277","1,299","1,184","1,245","1,215","1,142","1,092","1,085","1,153","1,172","1,211","1,220","1,302","1,023",899,868,884,850,682,748,705,646,568,552,495,462,442,377,360,266,246,210,168,727
